"date","NYT_dailySD","CD_dailySD","CNBC_dailySD","NYT_MSS","CD_MSS","CNBC_MSS","NYT_length","CD_length","CNBC_length","n_NYT_articles","n_CD_articles","n_CNBC_articles"
2011-05-29,NA,NA,NA,0.735407773421923,NA,NA,3076,NA,NA,1,0,0
2011-06-20,NA,NA,0.651018299953804,NA,NA,-0.93488437514044,NA,NA,3802,0,2,0
2011-06-20,NA,NA,0.651018299953804,NA,NA,-0.0142054659926946,NA,NA,5987,0,2,0
2011-07-03,NA,NA,NA,2.22956930560186,NA,NA,1371,NA,NA,1,0,0
2011-07-20,NA,NA,NA,NA,NA,0.938396485009301,NA,NA,11712,0,1,0
2011-11-23,NA,NA,NA,NA,NA,-1.3862345981443,NA,NA,6031,0,1,0
2012-07-02,NA,NA,NA,2.31328584780861,NA,NA,1506,NA,NA,1,0,0
2012-07-13,NA,NA,NA,0.0715798014865998,NA,NA,7493,NA,NA,1,0,0
2013-03-27,NA,NA,NA,NA,NA,1.38996150243976,NA,NA,5306,0,1,0
2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
2013-04-01,NA,NA,NA,NA,0.948328009546198,NA,NA,6083,NA,0,0,2
2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
2013-04-01,NA,NA,NA,NA,0.436466034009094,NA,NA,6285,NA,0,0,2
2013-04-02,NA,NA,NA,NA,NA,1.19297801163146,NA,NA,3459,0,1,0
2013-04-03,NA,NA,1.17472319803432,NA,NA,-0.368158999470921,NA,NA,5655,0,2,0
2013-04-03,NA,NA,1.17472319803432,NA,NA,1.29315047922351,NA,NA,3445,0,2,0
2013-04-04,NA,NA,NA,NA,NA,-0.785575829643256,NA,NA,4487,0,1,0
2013-04-05,NA,NA,1.24496455562442,NA,NA,-1.42035583303213,NA,NA,4823,0,2,0
2013-04-05,NA,NA,1.24496455562442,NA,NA,0.340289926205712,NA,NA,3613,0,2,0
2013-04-07,NA,NA,NA,1.5539872771944,NA,NA,1393,NA,NA,1,0,0
2013-04-09,NA,NA,NA,NA,NA,0.516359858229923,NA,NA,2840,0,1,0
2013-04-10,NA,NA,NA,NA,NA,-2.5824588469181,NA,NA,1336,0,1,0
2013-04-11,NA,NA,0.287070566579196,NA,NA,0.0170716691408275,NA,NA,6396,0,3,0
2013-04-11,NA,NA,0.287070566579196,NA,NA,-0.347494971042913,NA,NA,2425,0,3,0
2013-04-11,NA,NA,0.287070566579196,NA,NA,0.218906695704199,NA,NA,9433,0,3,0
2013-04-12,NA,NA,NA,NA,NA,0.300410885607986,NA,NA,7377,0,1,0
2013-04-13,NA,NA,NA,NA,-1.20635289306415,NA,NA,2998,NA,0,0,1
2013-04-14,NA,NA,NA,1.2804108409796,NA,NA,3001,NA,NA,1,0,0
2013-04-15,NA,0.878733225337847,NA,NA,-1.54288350101093,-0.211368405155325,NA,1933,7686,0,1,3
